Run,Assay Type,AvgSpotLen,Bases,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Sample Name,source_name,SRA Study
SRR29022827,RNA-Seq,300,8862359700,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX24548300,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266850,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266850,"BRCA sample ID:440796\, belong to HER-2 subtype","BRCA sample ID:440796\, belong to HER-2 subtype"
SRR29022828,RNA-Seq,300,7522791000,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX24548299,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266849,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266849,Paracancerous sample of BRCA sample ID:440796,Paracancerous sample of BRCA sample ID:440796
SRR29022829,RNA-Seq,300,8293388700,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX24548298,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266848,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266848,"BRCA sample ID:440634\, belong to HER-2 subtype","BRCA sample ID:440634\, belong to HER-2 subtype"
SRR29022830,RNA-Seq,300,8466577500,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX24548297,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266847,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266847,Paracancerous sample of BRCA sample ID:440634,Paracancerous sample of BRCA sample ID:440634
SRR29022831,RNA-Seq,300,8888543400,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX24548296,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266846,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266846,"BRCA sample ID:440601\, belong to TNBC subtype","BRCA sample ID:440601\, belong to TNBC subtype"
SRR29022832,RNA-Seq,300,9846438000,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX24548295,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266845,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266845,Paracancerous sample of BRCA sample ID:440601,Paracancerous sample of BRCA sample ID:440601
SRR29022833,RNA-Seq,300,8105941800,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX24548294,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266844,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266844,"BRCA sample ID:431003\, belong to TNBC subtype","BRCA sample ID:431003\, belong to TNBC subtype"
SRR29022834,RNA-Seq,300,6778080900,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX24548293,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266843,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266843,Paracancerous sample of BRCA sample ID:431003,Paracancerous sample of BRCA sample ID:431003
SRR29022835,RNA-Seq,300,5979375000,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX24548292,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266842,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266842,"BRCA sample ID:430299\, belong to TNBC subtype","BRCA sample ID:430299\, belong to TNBC subtype"
SRR29022836,RNA-Seq,300,6155412000,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX24548291,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM8266841,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,GSM8266841,Paracancerous sample of BRCA sample ID:430299,Paracancerous sample of BRCA sample ID:430299
