ensembl_id,symbol
ENSG00000060718,COL11A1
ENSG00000174827,PDZK1
ENSG00000136883,KIF12
ENSG00000126010,GRPR
ENSG00000099953,MMP11
ENSG00000165474,GJB2
ENSG00000130208,APOC1
ENSG00000123500,COL10A1
ENSG00000122641,INHBA
ENSG00000196611,MMP1
ENSG00000151790,TDO2
ENSG00000137745,MMP13
ENSG00000115593,SMYD1
ENSG00000135063,ENTREP1
ENSG00000137872,SEMA6D
ENSG00000163879,DNALI1
ENSG00000130045,NXNL2
ENSG00000164694,FNDC1
ENSG00000230838,LINC01614
ENSG00000180264,ADGRD2
ENSG00000105664,COMP
ENSG00000066279,ASPM
ENSG00000171848,RRM2
ENSG00000286214,COPG2IT1
ENSG00000134533,RERG
ENSG00000154529,CNTNAP3B
ENSG00000007216,SLC13A2
ENSG00000164309,CMYA5
ENSG00000134028,ADAMDEC1
ENSG00000083782,EPYC
ENSG00000170271,FAXDC2
ENSG00000179934,CCR8
ENSG00000278828,H3C10
ENSG00000169515,CCDC8
ENSG00000115414,FN1
ENSG00000225362,CT62
ENSG00000016602,CLCA4
ENSG00000100276,RASL10A
ENSG00000204262,COL5A2
ENSG00000029993,HMGB3
ENSG00000137225,CAPN11
ENSG00000130032,PRRG3
ENSG00000212766,EWSAT1
ENSG00000112984,KIF20A
ENSG00000197903,H2BC12
ENSG00000170962,PDGFD
ENSG00000140379,BCL2A1
ENSG00000196747,H2AC13
ENSG00000203727,SAMD5
ENSG00000104951,IL4I1
ENSG00000174611,KY
ENSG00000141526,SLC16A3
ENSG00000224137,LINC01857
ENSG00000153246,PLA2R1
ENSG00000117586,TNFSF4
ENSG00000213366,GSTM2
ENSG00000120251,GRIA2
ENSG00000086717,PPEF1
ENSG00000290541,CYP4F29P
ENSG00000110195,FOLR1
ENSG00000204767,INSYN2B
ENSG00000101955,SRPX
ENSG00000147570,DNAJC5B
ENSG00000150281,CTF1
ENSG00000177098,SCN4B
ENSG00000166006,KCNC2
ENSG00000162849,KIF26B
ENSG00000130635,COL5A1
ENSG00000106004,HOXA5
ENSG00000148773,MKI67
ENSG00000117215,PLA2G2D
ENSG00000276043,UHRF1
ENSG00000151778,SERP2
ENSG00000277639,CHD9NB
ENSG00000136158,SPRY2
ENSG00000113739,STC2
ENSG00000165197,VEGFD
ENSG00000186283,TOR3A
ENSG00000187837,H1-2
ENSG00000170312,CDK1
ENSG00000112320,SOBP
