Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of T Cell Activation (GO:0050863)	34/62	2.491165e-12	1.140206e-08	0	0	6.427895e+00	1.717422e+02	SIRPG;PTPN22;THY1;VTCN1;SIRPB1;HSPD1;IL4I1;MYDGF;HLA-DMB;SIT1;CCL5;TBX21;TNFSF11;CCL2;TIGIT;HLA-DOB;JAK3;HLA-DQA2;PAG1;CCR2;HLA-DPA1;TNFSF18;CRTAM;LAPTM5;CYRIB;LAX1;CD2;CD4;LCK;HLA-DRA;TNFSF9;PRKCQ;TNFSF8;HLA-DQB2
GO_Biological_Process_2023	Positive Regulation Of Cytokine Production (GO:0001819)	97/320	8.803688e-11	2.014724e-07	0	0	2.321982e+00	5.376146e+01	CD86;TRAF3IP3;CSF2;CD80;SERPINE1;PNP;IL12B;CCBE1;GBP5;SLC11A1;CYBA;TYROBP;IL23A;CD226;PRKCQ;IL6ST;PLA2R1;CARD11;CD274;GATA4;GATA3;HIF1A;LY9;RASGRP1;INAVA;IRAK1;CLEC7A;HMOX1;SLAMF6;DRD2;ELANE;SLAMF1;EGR1;AFAP1L2;TSLP;CRTAM;ISG15;CYRIB;POU2F2;PTPRC;TNFSF4;CLEC6A;CNTN1;HPSE;MYD88;ITK;HILPDA;CGAS;PTPN22;C1QTNF4;IFIH1;MYDGF;CCR7;IKBKE;CCR2;HAVCR2;HLA-DPA1;IL10;FCER1G;SYK;RIPK2;NFAM1;IL18;MMP8;FGR;SLC7A5;TMIGD2;IFNG;IRF4;IRF1;IRF7;TLR8;XCL1;IRF5;TLR6;LCP1;LTB;GAPDH;NOD2;HSPD1;IL12RB1;TIGIT;LURAP1;LAPTM5;OSM;LILRB1;LILRB2;SULF1;SCIMP;BATF;CD2;CD4;CD40LG;CD6;LEP;POU2AF1;SAA1
GO_Biological_Process_2023	Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)	18/28	1.176166e-08	1.188831e-05	0	0	9.490704e+00	1.732853e+02	ZWILCH;PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;FBXO5;TRIP13;BUB1;MAD1L1;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023	B Cell Receptor Signaling Pathway (GO:0050853)	24/46	1.556860e-08	1.188831e-05	0	0	5.758682e+00	1.035296e+02	BLK;ITK;SYK;PRKCB;NFAM1;IGHG3;CD79A;IGHG4;IGHG1;IGHG2;PTPRC;IGKC;LCK;CD19;IGLC3;BTK;CD38;CTLA4;BAX;NCKAP1L;MNDA;IGHA2;MS4A1;SH2B2
GO_Biological_Process_2023	Regulation Of T Cell Proliferation (GO:0042129)	33/77	1.979225e-08	1.188831e-05	0	0	3.965131e+00	7.033339e+01	CD86;CD274;TFRC;CD80;TNFRSF13C;VTCN1;CD3E;SPN;IL4I1;MYDGF;PNP;HLA-DMB;CCL5;IL12B;NCKAP1L;HLA-DPA1;IL10;TNFSF18;PLA2G2D;CD70;LILRB1;LILRB2;FOXP3;LILRB4;CD40LG;PTPRC;CD6;IL23A;LEP;TNFSF9;TNFSF8;IL6ST;IDO1
GO_Biological_Process_2023	Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)	17/26	2.077921e-08	1.188831e-05	0	0	9.956846e+00	1.761298e+02	ZWILCH;PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;MAD1L1;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023	Mitotic Spindle Checkpoint Signaling (GO:0071174)	17/26	2.077921e-08	1.188831e-05	0	0	9.956846e+00	1.761298e+02	ZWILCH;PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;MAD1L1;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023	Spindle Assembly Checkpoint Signaling (GO:0071173)	17/26	2.077921e-08	1.188831e-05	0	0	9.956846e+00	1.761298e+02	ZWILCH;PLK1;BUB1B;TTK;HASPIN;NDC80;ZWINT;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;MAD1L1;SPC24;MAD2L1;SPC25
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Activation (GO:0051251)	24/47	2.698600e-08	1.372388e-05	0	0	5.507976e+00	9.599272e+01	SIRPG;NOD2;THY1;CYRIB;SIRPB1;HSPD1;HLA-DMB;TYROBP;CLEC7A;IL23A;LCK;TNFSF4;CCL2;IL12B;TNFSF11;HLA-DRA;NCKAP1L;PRKCQ;HLA-DOB;HLA-DQA2;HLA-DQB2;CCR2;HLA-DPA1;FGF10
GO_Biological_Process_2023	Positive Regulation Of T Cell Proliferation (GO:0042102)	29/65	4.810819e-08	2.110623e-05	0	0	4.255507e+00	7.170449e+01	CD86;CD274;TFRC;CD80;TNFRSF13C;CD3E;PNP;HLA-DMB;CCL5;IL12B;NCKAP1L;IL12RB1;ICOSLG;CCR2;HLA-DPA1;SYK;CD70;IL18;IGF2;LILRB2;TMIGD2;CD40LG;PTPRC;CD6;IL23A;LEP;TNFSF4;TNFSF9;IL6ST
