Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Collagen-Containing Extracellular Matrix (GO:0062023),108/373,1.5994526023927032e-10,6.013941784996565e-08,0,0,2.1777560951811785,49.12187913009184,ADAMDEC1;SERPINE2;SERPINE1;LOXL4;PLAT;LOXL1;ICAM1;COMP;CDON;TGM2;POSTN;FIBCD1;P3H2;ADAM19;COL4A1;COL4A6;COL8A1;FREM1;MXRA5;FREM2;COL17A1;FBN2;SEMA7A;COL13A1;LTBP4;DPT;FBLN5;APOE;NDP;WNT2;ELANE;COL28A1;FN1;PRG2;COL1A1;COL1A2;CXCL12;COL5A1;COL5A2;OGN;CNTN1;COL9A3;FGF10;FGFR1;SRPX;TINAGL1;TGFB1I1;CTSZ;CTSS;HAPLN1;SERPINA5;ADAMTS4;CTSL;COL10A1;CTSH;CTSF;CTSD;CTSC;CTSB;MYOC;DST;COL25A1;MST1;BGN;NRG1;MMP8;MMP9;DCN;CCNA2;VCAN;ANGPTL7;ANGPTL6;MMRN2;ANGPTL5;COL6A6;COL6A5;ANGPTL1;MATN2;C1QB;ITIH5;C1QA;CSTB;LRRC15;TNXB;ITIH2;LAMA2;COL11A1;C17ORF58;LAMA3;PRELP;COL19A1;THSD4;ACAN;IGFBPL1;NCAM1;CTHRC1;GDF10;ANGPT4;LAMB3;F12;SULF1;MFAP4;COL3A1;COL7A1;MFAP2;MGP;FMOD;C1QC
GO_Cellular_Component_2023,Tertiary Granule (GO:0070820),48/162,9.356216435458268e-06,0.0017589686898661,0,0,2.227280312385276,25.79072461488436,CDA;CSTB;TNFAIP6;CLEC12A;ITGB2;PTAFR;HBB;SLC2A3;FPR2;GPR84;CTSS;PLAU;CLEC5A;TBC1D10C;ITGAX;CTSH;OLR1;NCKAP1L;CTSD;CAMP;LAIR1;CD177;CD53;CHRNB4;FCER1G;SLC11A1;GGH;CYBA;KCNAB2;TMC6;LILRB2;LYZ;MMP8;ILF2;MMP9;OSCAR;CHIT1;DIAPH1;CLEC4C;NFASC;DOK3;RAP2B;QPCT;DSG1;ADAM8;ALDOC;PTPN6;DSC1
GO_Cellular_Component_2023,T Cell Receptor Complex (GO:0042101),11/19,3.7432114107207925e-05,0.00469149163477,0,0,7.234801002820433,73.744193183212,ZAP70;CD4;TRBV19;SYK;TRAT1;CD8A;TRBC2;TRBC1;CD3G;CD3E;CD3D
GO_Cellular_Component_2023,Endoplasmic Reticulum Lumen (GO:0005788),71/284,5.784991160227257e-05,0.0054378916906136,0,0,1.7656765676567656,17.2288692023807,ERO1A;COLGALT2;CTSZ;PCSK9;MYDGF;ADAMTS5;IL12B;COL10A1;CTSC;SGCG;ADAMTS7;IGFBP1;TOR3A;COL25A1;RNASET2;P3H2;PLAUR;PDIA6;PDIA5;CKAP4;F5;TRDN;CCNA2;F8;VCAN;VGF;IL23A;COL4A1;DNAJB11;MZB1;COL4A6;CASQ2;COL8A1;RDH5;COL17A1;ITIH2;COL13A1;COL11A1;PDGFA;TSPAN33;COL19A1;PDGFD;STC2;GPC3;ARSI;APOE;ARSG;APOB;ARSB;TXNDC5;COL28A1;F10;BDNF;COL22A1;TMEM132A;FN1;MANF;COL1A1;BMP4;COL3A1;COL1A2;COL5A1;P4HA1;P4HA3;COL7A1;COL5A2;CALU;COL9A3;HYOU1;CALR;PNPLA2
GO_Cellular_Component_2023,CMG Complex (GO:0071162),7/10,0.00020502419438531567,0.0154178194177757,0,0,12.265519040166929,104.16348004000602,GINS1;GINS2;GINS3;GINS4;MCM4;MCM6;MCM2
GO_Cellular_Component_2023,Ficolin-1-Rich Granule (GO:0101002),48/184,0.0003037153607142155,0.0190328292714241,0,0,1.8645231079115223,15.101555020931327,CFD;CDA;CSTB;PSMD14;TNFAIP6;CTSZ;ITGB2;HBB;SLC2A3;FPR2;CTSS;HK3;PNP;PRDX4;PSMD2;COTL1;TBC1D10C;ITGAX;CTSH;NCKAP1L;CTSD;ARSB;CTSB;HSPA8;ACTR2;FCER1G;GSN;SLC11A1;PRG2;AMPD3;LILRB2;ILF2;MMP9;PSMA5;DIAPH1;CLEC4C;NFASC;DOK3;BIN2;GLB1;QPCT;CAT;DSG1;ADAM8;ALDOC;MNDA;PLEKHO2;DSC1
GO_Cellular_Component_2023,Tertiary Granule Membrane (GO:0070821),23/72,0.0005931963300199328,0.0318631171553563,0,0,2.473034133439472,18.374606848491137,CD53;CHRNB4;FCER1G;CLEC12A;SLC11A1;ITGB2;PTAFR;SLC2A3;CYBA;KCNAB2;TMC6;FPR2;GPR84;LILRB2;CLEC4C;RAP2B;PLAU;CLEC5A;ITGAX;OLR1;ADAM8;LAIR1;CD177
GO_Cellular_Component_2023,Cytoplasmic Side Of Plasma Membrane (GO:0009898),34/124,0.0008488445843785813,0.0398956954657933,0,0,1.9923961840628508,14.08949748465825,BLK;PTPN22;RGS2;RACGAP1;GM2A;RGS1;PALM;AP2S1;PGM5;JAK3;CYTH1;G6PD;CARMIL2;SYK;STAC3;PTK6;KCNAB2;TRAF1;PLEKHA4;LILRB4;FRMD1;FGR;TIAM1;HCK;ZAP70;FRMD6;PTPRC;LCK;DSG1;PTPN7;FERMT2;MYD88;CDK16;GCOM1
GO_Cellular_Component_2023,Tertiary Granule Lumen (GO:1904724),18/53,0.0010227346797177,0.0427275821748741,0,0,2.707591529073941,18.64251275478408,CDA;CSTB;TNFAIP6;HBB;GGH;MMP8;LYZ;ILF2;MMP9;CTSS;OSCAR;CHIT1;QPCT;CTSH;ALDOC;PTPN6;CTSD;CAMP
GO_Cellular_Component_2023,Lysosomal Lumen (GO:0043202),25/86,0.0016242300471889,0.0520822312341966,0,0,2.159089149986842,13.86722807215479,PRELP;IFI30;CTSS;GM2A;CTSL;GPC3;CTSF;APOB;CTSD;ARSB;CTSB;TXNDC5;CTSA;HSPA8;BGN;KERA;DCN;VCAN;GLB1;OGN;SDC1;MAN2B1;HPSE;FMOD;LGMN
GO_Cellular_Component_2023,Voltage-Gated Sodium Channel Complex (GO:0001518),5/7,0.0016562021856399,0.0520822312341966,0,0,13.134188301532689,84.10120409814617,SCN4A;SCN5A;SCN3B;SCN4B;SCN2B
GO_Cellular_Component_2023,Endocytic Vesicle Membrane (GO:0030666),40/159,0.0019286503164151,0.0520822312341966,0,0,1.7730507762877448,11.083224868142455,CAMK2B;GRIA2;TFRC;HVCN1;CAMK2A;STAB2;TGFA;CD3G;LRP2;CD3D;PIP4P2;RAC2;AP2S1;APOE;CD36;APOB;FCGR1A;HLA-DQA2;GRIA3;WLS;GRIA4;HLA-DPA1;MSR1;ATP6V0B;SLC11A1;CAV1;AVPR2;ENTPD7;TAP1;CYBA;MARCO;CD4;NOSTRIN;HLA-DRA;CALR;CLEC4E;IL7R;ATP6V0D2;HLA-DQB2;VAMP2
GO_Cellular_Component_2023,Specific Granule (GO:0042581),40/159,0.0019286503164151,0.0520822312341966,0,0,1.7730507762877448,11.083224868142455,CLEC12A;HVCN1;CTSZ;ITGB2;PTPRJ;SLC2A3;FPR2;GPR84;ITGAL;SLC2A5;MMP24;PLAU;CLEC5A;OLR1;CD36;CTSD;ELANE;CAMP;LAIR1;CD177;CD53;CHRNB4;AOC1;PLAUR;GGH;CYBA;KCNAB2;TMC6;LYZ;MMP8;ILF2;CKAP4;OSCAR;CHIT1;RAP2B;QPCT;ADAM8;PTPN6;HPSE;DOCK2
GO_Cellular_Component_2023,Alpha-Beta T Cell Receptor Complex (GO:0042105),6/10,0.0019599380645635,0.0520822312341966,0,0,7.882040050062578,49.14327754953787,TRBV19;TRBC2;TRBC1;CD3G;CD3E;CD3D
