Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Chemokine Receptor Binding (GO:0042379)	20/50	4.079165e-05	3.481256e-02	0	0	3.513094e+00	3.550696e+01	CX3CR1;CCL25;CCL13;CXCL9;CXCL8;CCL22;CCL20;CXCL13;CXCL10;CXCL11;CXCL12;CCL5;CCRL2;ENC1;CCL4;CCL3;XCL1;CCL2;CCL18;CCL17
GO_Molecular_Function_2023	Cytokine Receptor Activity (GO:0004896)	26/76	7.584437e-05	3.481256e-02	0	0	2.742116e+00	2.601398e+01	CX3CR1;CNTFR;IL2RG;IL1RL2;CXCR3;LEPR;IL21R;CCR8;IL12B;CCR5;IL13RA2;IL12RB1;CCR4;CCR2;CCR1;GPR17;IL10RA;IL31RA;GFRA1;LIFR;CD4;IL17REL;IL2RA;IL2RB;IL6ST;IL7R
GO_Molecular_Function_2023	Chemokine Activity (GO:0008009)	18/46	1.370932e-04	4.195052e-02	0	0	3.385903e+00	3.011710e+01	CCL25;CCL13;CXCL9;CXCL8;CCL22;CCL20;CXCL13;CXCL10;CXCL11;CXCL12;CCL5;CCL4;ENC1;CCL3;CCL2;XCL1;CCL18;CCL17
GO_Molecular_Function_2023	Chemokine Receptor Activity (GO:0004950)	10/19	2.483868e-04	4.261348e-02	0	0	5.844124e+00	4.850929e+01	CCR1;CX3CR1;GPR17;CXCR3;CXCR4;CCR8;CCR7;CCR5;CCR4;CCR2
GO_Molecular_Function_2023	G Protein-Coupled Chemoattractant Receptor Activity (GO:0001637)	8/13	2.572765e-04	4.261348e-02	0	0	8.412273e+00	6.953046e+01	CCR1;CX3CR1;GPR17;CXCR3;CCR8;CCR5;CCR4;CCR2
GO_Molecular_Function_2023	DNA Secondary Structure Binding (GO:0000217)	14/33	2.785195e-04	4.261348e-02	0	0	3.878129e+00	3.174645e+01	GEN1;BLM;XRCC2;HMGA1;HMGB3;NR0B1;SMC6;RAD51AP1;RECQL4;RAD51B;NEIL3;HAND2;CLSPN;MAPT
GO_Molecular_Function_2023	Phosphotyrosine Residue Binding (GO:0001784)	15/39	6.055353e-04	7.941162e-02	0	0	3.289536e+00	2.437348e+01	SYK;IRS1;SLA;SAMSN1;SHD;VAV1;SHF;FGR;SHE;HCK;ZAP70;LCK;ABL2;PTPN6;PFN1
GO_Molecular_Function_2023	Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715)	14/36	8.037228e-04	9.222719e-02	0	0	3.348694e+00	2.386365e+01	BLK;ITK;SYK;RIPK2;PTK6;FGR;HCK;ZAP70;MELK;LCK;BTK;ABL2;CSK;JAK3
GO_Molecular_Function_2023	Protein Phosphorylated Amino Acid Binding (GO:0045309)	16/45	1.098311e-03	1.120277e-01	0	0	2.903912e+00	1.978720e+01	SYK;IRS1;SLA;SAMSN1;YWHAZ;SHD;VAV1;SHF;FGR;SHE;HCK;ZAP70;LCK;ABL2;PTPN6;PFN1
GO_Molecular_Function_2023	Carbonate Dehydratase Activity (GO:0004089)	7/13	1.875616e-03	1.635657e-01	0	0	6.131664e+00	3.849960e+01	CA12;CA11;CA3;CA4;CA6;CA9;CA5BP1
