Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,Chemokine Receptor Binding (GO:0042379),20/50,4.079165121285571e-05,0.0348125648276853,0,0,3.513094489838676,35.50696237875125,CX3CR1;CCL25;CCL13;CXCL9;CXCL8;CCL22;CCL20;CXCL13;CXCL10;CXCL11;CXCL12;CCL5;CCRL2;ENC1;CCL4;CCL3;XCL1;CCL2;CCL18;CCL17
GO_Molecular_Function_2023,Cytokine Receptor Activity (GO:0004896),26/76,7.584436781630796e-05,0.0348125648276853,0,0,2.742115869017632,26.013979162657822,CX3CR1;CNTFR;IL2RG;IL1RL2;CXCR3;LEPR;IL21R;CCR8;IL12B;CCR5;IL13RA2;IL12RB1;CCR4;CCR2;CCR1;GPR17;IL10RA;IL31RA;GFRA1;LIFR;CD4;IL17REL;IL2RA;IL2RB;IL6ST;IL7R
GO_Molecular_Function_2023,Chemokine Activity (GO:0008009),18/46,0.0001370932116918292,0.0419505227776997,0,0,3.385902727925341,30.11709513972606,CCL25;CCL13;CXCL9;CXCL8;CCL22;CCL20;CXCL13;CXCL10;CXCL11;CXCL12;CCL5;CCL4;ENC1;CCL3;CCL2;XCL1;CCL18;CCL17
GO_Molecular_Function_2023,Chemokine Receptor Activity (GO:0004950),10/19,0.0002483868301212306,0.0426134823142197,0,0,5.844124199387357,48.50928866518563,CCR1;CX3CR1;GPR17;CXCR3;CXCR4;CCR8;CCR7;CCR5;CCR4;CCR2
GO_Molecular_Function_2023,G Protein-Coupled Chemoattractant Receptor Activity (GO:0001637),8/13,0.0002572764826197233,0.0426134823142197,0,0,8.412273011897307,69.5304584975357,CCR1;CX3CR1;GPR17;CXCR3;CCR8;CCR5;CCR4;CCR2
GO_Molecular_Function_2023,DNA Secondary Structure Binding (GO:0000217),14/33,0.00027851949224980246,0.0426134823142197,0,0,3.8781285082216206,31.746447268547307,GEN1;BLM;XRCC2;HMGA1;HMGB3;NR0B1;SMC6;RAD51AP1;RECQL4;RAD51B;NEIL3;HAND2;CLSPN;MAPT
GO_Molecular_Function_2023,Phosphotyrosine Residue Binding (GO:0001784),15/39,0.0006055352647911258,0.0794116247254647,0,0,3.2895356134295577,24.37347779206184,SYK;IRS1;SLA;SAMSN1;SHD;VAV1;SHF;FGR;SHE;HCK;ZAP70;LCK;ABL2;PTPN6;PFN1
GO_Molecular_Function_2023,Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),14/36,0.0008037228144750332,0.09222719296101,0,0,3.348693966008897,23.863650823547136,BLK;ITK;SYK;RIPK2;PTK6;FGR;HCK;ZAP70;MELK;LCK;BTK;ABL2;CSK;JAK3
GO_Molecular_Function_2023,Protein Phosphorylated Amino Acid Binding (GO:0045309),16/45,0.0010983111933837,0.112027741725145,0,0,2.9039115094053725,19.78719947018774,SYK;IRS1;SLA;SAMSN1;YWHAZ;SHD;VAV1;SHF;FGR;SHE;HCK;ZAP70;LCK;ABL2;PTPN6;PFN1
GO_Molecular_Function_2023,Carbonate Dehydratase Activity (GO:0004089),7/13,0.0018756158006595,0.163565740297215,0,0,6.131664058424621,38.49960417120967,CA12;CA11;CA3;CA4;CA6;CA9;CA5BP1
