Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Cytokine-cytokine receptor interaction	86/295	8.074158e-09	2.543360e-06	0	0	2.190660e+00	4.082206e+01	CNTFR;CXCL9;CSF2;CXCL8;EDA;CCL4L2;FASLG;TNFRSF13C;CXCL13;EDA2R;TNFSF13B;LEPR;IL12B;TNFSF11;CCR8;CCR7;CCR5;IL13RA2;CCR4;TNFRSF4;CCR2;IL10;TNFRSF12A;TNFRSF18;IL18;IL19;LIFR;IFNG;IL23A;LTA;XCL1;LTB;IL6ST;CX3CR1;CCL13;CTF1;CXCR5;CXCR4;CXCR6;IL2RG;IL1RL2;ACVR1C;CXCR3;CCL5;CCL4;CCL3;IL21R;CCL2;CCL18;IL12RB1;CCL17;RELT;CCR1;TNFSF18;CCL25;GDF10;IL32;CCL22;TSLP;CCL20;CD70;IL10RA;TNFRSF9;IL31RA;BMP8A;OSM;BMP8B;INHBA;BMP7;BMP5;BMP4;CXCL10;CXCL11;CD4;CD40LG;CXCL12;TNFSF4;IL2RA;LEP;IL2RB;CD27;TNFSF9;TNFSF8;IL7R;CCL28;IL17B
KEGG_2021_Human	Cell adhesion molecules	50/148	7.627711e-08	9.095834e-06	0	0	2.703175e+00	4.430205e+01	CD86;CNTNAP2;CD80;ITGB2;ICAM3;ITGAL;ICAM1;SPN;CTLA4;ITGB7;HLA-DOB;CD34;ICOSLG;HLA-DPA1;ITGA4;CLDN11;CLDN5;MAG;VCAN;CD8A;CLDN14;CLDN19;CD226;CD274;NLGN1;SELPLG;NRXN1;VTCN1;HLA-DMB;NCAM1;ICOS;TIGIT;HLA-DQA2;JAM2;LRRC4B;NTNG2;NLGN4X;CD2;CD4;NFASC;PTPRC;CD40LG;SELL;CD6;CNTN1;HLA-DPB1;HLA-DRA;SDC1;PDCD1;CD22
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	38/100	8.662699e-08	9.095834e-06	0	0	3.241956e+00	5.271957e+01	CX3CR1;CCL13;CXCL9;CXCL8;CCL4L2;CXCR5;CXCR4;CXCL13;IL2RG;CCL5;CXCR3;CCL4;CCL3;CCR8;CCL2;CCR7;CCR5;CCL18;CCR4;CCL17;CCR2;CCR1;IL10;CCL25;CCL22;CCL20;IL10RA;IL18;IL19;CXCL10;CXCL11;CXCL12;IL2RA;IL2RB;LTA;XCL1;IL6ST;CCL28
KEGG_2021_Human	Systemic lupus erythematosus	45/135	5.155763e-07	4.060163e-05	0	0	2.646183e+00	3.831139e+01	CD86;H2AX;C1QB;C1QA;CD80;MACROH2A1;C2;H2AC11;H2AC13;FCGR3A;H2AC14;HLA-DMB;H3C13;H3C12;H3C10;H3C2;H4C4;FCGR1A;HLA-DOB;H3C4;HLA-DQA2;ELANE;HLA-DPA1;H4C8;IL10;H2AZ1;H2BC9;H3C8;H2AC8;H2BC7;H2BC8;H2BC5;H2BC6;H2BC4;GRIN2B;H2BC17;H2BC12;H2BC13;H2AJ;CD40LG;IFNG;H2BC11;HLA-DPB1;HLA-DRA;C1QC
KEGG_2021_Human	Intestinal immune network for IgA production	22/48	1.124845e-06	6.084051e-05	0	0	4.462796e+00	6.113078e+01	CD86;CCL25;IL10;PIGR;ITGA4;CD80;CXCR4;TNFRSF13C;AICDA;TNFSF13B;HLA-DMB;CD40LG;CXCL12;HLA-DPB1;HLA-DRA;ITGB7;ICOS;HLA-DOB;HLA-DQA2;CCL28;ICOSLG;HLA-DPA1
KEGG_2021_Human	Primary immunodeficiency	19/38	1.158867e-06	6.084051e-05	0	0	5.271442e+00	7.205043e+01	TAP1;TNFRSF13C;CD3E;IL2RG;CD3D;AICDA;CD79A;ZAP70;CD4;CD40LG;PTPRC;CD8A;LCK;CD19;BTK;ICOS;IL7R;JAK3;ADA
KEGG_2021_Human	Rheumatoid arthritis	32/93	1.037638e-05	4.669369e-04	0	0	2.769737e+00	3.178544e+01	CD86;CSF2;CXCL8;CD80;ITGB2;ITGAL;ICAM1;TNFSF13B;HLA-DMB;CTSL;CCL5;CCL3;ACP5;CTLA4;TNFSF11;CCL2;HLA-DOB;HLA-DQA2;HLA-DPA1;ATP6V0B;MMP1;CCL20;MMP3;IL18;CXCL12;IFNG;IL23A;HLA-DPB1;HLA-DRA;LTB;ATP6V0D2;ATP6V1B1
KEGG_2021_Human	Hematopoietic cell lineage	33/99	1.624536e-05	6.396610e-04	0	0	2.639950e+00	2.911258e+01	CSF2;TFRC;CD3G;CD3E;CD3D;HLA-DMB;CD19;CD38;CD37;CD36;FCGR1A;HLA-DOB;HLA-DQA2;CD34;HLA-DPA1;CR2;ITGA4;MME;ITGA3;ITGA2;GP1BA;CD2;CD4;CD8A;CD5;IL2RA;KIT;CD7;HLA-DPB1;HLA-DRA;IL7R;MS4A1;CD22
KEGG_2021_Human	Neutrophil extracellular trap formation	51/189	8.025317e-05	2.808861e-03	0	0	1.953969e+00	1.842656e+01	H2AX;SIGLEC9;NCF1;NCF2;AQP9;ITGB2;ITGAL;H2AC11;H2AC13;FCGR3A;H2AC14;RAC2;H4C4;CAMP;H3C8;H2AC8;SYK;PRKCB;CYBA;GP1BA;H2BC17;H2BC12;H2BC13;H2AJ;H2BC11;PPIF;TLR8;VDAC1;PADI4;SLC25A5;SELPLG;C5AR1;FPR3;FPR2;MACROH2A1;H3C13;CLEC7A;H3C12;H3C10;H3C2;FCGR1A;H3C4;ELANE;H4C8;H2AZ1;H2BC9;H2BC7;H2BC8;H2BC5;H2BC6;H2BC4
KEGG_2021_Human	ECM-receptor interaction	28/88	1.717962e-04	5.219021e-03	0	0	2.460954e+00	2.133450e+01	TNXB;LAMA2;LAMC3;LAMA3;HMMR;COMP;IBSP;CHAD;ITGB7;CD36;ITGA4;LAMB3;ITGA3;ITGA2;FN1;GP1BA;COL1A1;COL1A2;COL4A1;ITGA10;COL4A6;ITGA7;SDC1;COL6A6;COL9A3;COL6A5;FREM1;FREM2
