Geneid,SRR29022831,SRR29022832,SRR29022833,SRR29022834,SRR29022835,SRR29022836,SRR29022837,SRR29022838
ENSG00000290825.2,0,0,0,2,0,0,0,0
ENSG00000223972.6,0,0,0,0,0,0,0,0
ENSG00000310526.1,78,195,110,89,42,99,61,130
ENSG00000227232.6,0,0,0,0,0,0,0,0
ENSG00000278267.1,0,0,0,0,0,0,0,0
ENSG00000243485.6,2,2,0,1,2,0,0,4
ENSG00000284332.1,0,0,0,0,0,0,0,0
ENSG00000237613.3,0,0,0,0,0,0,0,0
ENSG00000308361.1,0,0,0,0,0,0,0,0
ENSG00000290826.2,0,0,0,0,0,0,0,0
ENSG00000268020.3,0,0,0,0,0,0,0,0
ENSG00000240361.3,0,0,0,0,0,0,0,0
ENSG00000186092.7,0,0,0,0,0,0,0,0
ENSG00000241860.8,6,2,0,1,1,2,0,3
ENSG00000239945.1,0,0,0,0,0,0,0,0
ENSG00000308314.1,0,0,0,0,0,0,0,0
ENSG00000233750.3,2,1,0,2,0,0,4,6
ENSG00000308579.1,6,9,15,11,24,3,32,8
ENSG00000268903.1,0,0,0,3,1,0,0,2
ENSG00000269981.1,9,46,37,18,22,2,66,25
ENSG00000239906.1,2,0,1,1,3,0,5,0
ENSG00000310528.1,0,0,0,0,0,0,1,0
ENSG00000222623.1,0,0,0,0,0,0,0,0
ENSG00000241599.1,0,0,0,0,0,0,0,0
ENSG00000308415.1,2,0,0,0,0,0,0,0
ENSG00000310527.1,59,133,85,149,41,121,62,107
ENSG00000279928.2,0,0,0,0,0,0,0,0
ENSG00000279457.4,0,0,0,0,0,0,0,0
ENSG00000273874.1,0,0,0,0,0,0,0,0
ENSG00000308625.1,1,0,2,1,0,0,0,0
ENSG00000308544.1,1,0,0,0,0,0,0,0
ENSG00000292994.2,8,11,5,7,3,20,14,7
ENSG00000228463.11,0,0,0,0,0,0,0,0
ENSG00000306775.1,0,0,0,0,0,0,0,0
ENSG00000286448.2,0,2,0,0,0,8,0,0
ENSG00000236679.2,0,0,0,0,0,0,0,0
ENSG00000236601.3,0,0,0,0,0,0,0,0
ENSG00000290385.2,41,38,21,34,42,12,52,39
ENSG00000269732.1,0,0,0,0,0,0,0,0
ENSG00000284733.2,0,0,0,0,0,0,0,0
ENSG00000237094.13,0,0,0,0,0,0,0,0
ENSG00000233653.3,0,0,0,3,0,0,0,0
ENSG00000250575.1,2,8,2,0,0,1,3,6
ENSG00000278757.1,0,0,0,0,0,0,0,0
ENSG00000293331.2,1,10,9,9,0,8,11,2
ENSG00000225880.7,189,318,308,259,108,122,301,410
ENSG00000235146.3,0,0,0,0,0,0,0,0
ENSG00000225972.1,29,32,24,22,33,57,121,34
ENSG00000225630.1,12792,12941,6883,7459,9736,10541,7298,6888
ENSG00000237973.1,1221,1772,1474,1725,1581,1625,1362,1160
ENSG00000278791.1,0,0,0,0,0,0,0,0
ENSG00000229344.1,2,2,2,0,2,0,10,6
ENSG00000240409.1,0,0,0,1,0,0,0,0
ENSG00000248527.1,14830,29259,29934,38042,16379,19608,20762,22266
ENSG00000198744.5,21,33,28,11,48,36,13,27
ENSG00000268663.1,0,0,0,0,0,0,0,0
ENSG00000284662.2,0,0,0,0,0,0,0,0
ENSG00000230021.11,0,0,0,0,0,0,0,0
ENSG00000229376.3,24,6,3,1,0,1,8,2
ENSG00000223181.1,0,0,0,0,0,0,0,1
ENSG00000229905.1,0,0,0,0,0,1,0,0
ENSG00000228327.6,0,0,0,0,0,0,0,0
ENSG00000237491.11,132,52,38,57,22,47,86,105
ENSG00000285268.1,0,0,0,0,0,0,0,0
ENSG00000230092.8,0,0,0,0,0,0,0,0
ENSG00000177757.3,0,4,0,1,9,14,3,12
ENSG00000228794.13,444,762,710,812,462,707,653,1033
ENSG00000297178.1,9,3,10,12,8,1,9,17
ENSG00000297224.1,0,0,0,0,0,0,1,0
ENSG00000230368.3,0,2,0,0,0,0,0,0
ENSG00000234711.1,0,7,0,2,0,0,0,0
ENSG00000283040.1,0,0,0,0,1,0,0,0
ENSG00000296088.1,0,0,0,0,0,0,0,0
ENSG00000272438.2,113,58,35,12,0,13,139,156
ENSG00000298603.1,4,0,1,0,0,0,3,6
ENSG00000223764.3,6,145,42,107,43,30,299,32
ENSG00000187634.15,14,377,155,143,115,55,634,169
ENSG00000188976.13,3273,3132,3825,2442,2718,1870,2536,1798
ENSG00000187961.17,730,663,654,414,239,336,369,282
ENSG00000187583.13,59,309,140,323,270,143,221,188
ENSG00000187642.12,9,39,2,35,31,36,28,19
ENSG00000303599.1,0,0,0,0,1,0,1,0
ENSG00000272512.1,165,161,139,69,83,60,25,20
ENSG00000188290.13,1304,2084,2192,1998,877,1651,1246,1089
ENSG00000303623.1,22,3,7,14,0,2,7,6
ENSG00000187608.11,2860,1368,13746,652,3137,1271,867,1031
ENSG00000303614.1,7,3,0,0,0,0,0,0
ENSG00000231702.2,2,0,1,0,0,0,0,0
ENSG00000224969.1,5,3,9,3,3,0,0,1
ENSG00000188157.17,12874,15453,7071,14542,4714,7492,5125,7829
ENSG00000242590.1,0,0,0,0,0,0,0,0
ENSG00000291156.2,75,57,21,153,40,19,16,66
ENSG00000273443.2,15,9,11,62,1,8,0,7
ENSG00000217801.13,31,63,8,35,6,8,19,27
ENSG00000304119.1,18,36,4,28,19,14,37,43
ENSG00000304169.1,0,2,0,7,2,6,3,3
ENSG00000237330.3,45,111,54,172,195,28,86,73
ENSG00000131591.20,1055,1090,790,724,500,539,621,548
ENSG00000285812.1,4,6,0,3,4,2,4,4
ENSG00000299943.1,0,0,0,0,0,0,0,0
ENSG00000223823.1,6,24,0,23,0,0,6,30
ENSG00000304965.1,2,14,6,2,4,2,0,2
ENSG00000207730.3,9,61,3,0,2,4,10,7
ENSG00000207607.3,4,28,0,6,0,4,2,14
ENSG00000198976.1,9,50,5,12,0,2,4,17
ENSG00000272141.1,196,345,67,104,155,106,155,101
ENSG00000205231.1,1,27,4,8,0,21,0,33
ENSG00000162571.16,79,89,21,59,9,80,15,72
ENSG00000186891.15,1081,299,994,109,252,237,224,86
